id,name,nick_name,wins,losses,draws
8b5f9ea38184ded3,Nicholas Musoke,Nico,13,5,0
83fd97284f4bb4a4,Efrain Escudero,Hecho En Mexico,28,12,0
f300763147320d12,Liliya Shakirova,,8,2,0
977081bc01197656,Scott Ferrozzo,The Pitbull,4,2,0
49ee5024966efc0d,Mounir Lazzez,The Sniper,11,3,0
2f1a257d6777096d,Luigi Vendramini,The Italian Stallion,9,3,0
5c126c6aac3ef364,Poliana Botelho,,8,5,0
5b5b9c6f6f270369,Kristof Midoux,The Hurricane,6,10,0
c7e9d15cfce52f1d,Tim Lajcik,The Bohemian,7,6,1
dc5a6b2fdb27e7dc,Amilcar Alves,,15,12,0
577ec7e108b94be3,Rainy Martinez,,0,2,0
af9f42e6894047fc,Jamie Mullarkey,,18,9,0
20205040232ed0f3,Tyson Griffin,,16,8,0
879f6cae48d25baa,Justin Lawrence,The American Kidd,10,4,0
1235b31de15d0c6e,Montserrat Conejo Ruiz,,10,5,0
de75d1c45a39e221,Sergio Pettis,,18,5,0
7826923b47f8d72a,Paddy Pimblett,The Baddy,23,4,0
0a95c474e61a6c44,Adam Yandiev,Boroda,9,1,0
d25240135aee03e5,Tabatha Ricci,Baby Shark,12,3,0
15df64c02b6b0fde,Danny Abbadi,The Assassin,4,6,0
a67d071163962af8,Michael Page,Venom,24,3,0
4a043165cf47cab2,Juancamilo Ronderos,100,4,2,0
016a8d958883167c,Gina Mazany,Danger,7,6,0
56bc9ccb609df534,Chuck O'Neil,Cold Steel,17,9,0
bffeb123b21c9aad,Darrell Montague,Mongoose,13,5,0
c3c23c99477c041b,Frank Hamaker,,1,0,0
fe435e440b5de0ff,Jake Shields,,31,9,1
0d1c163b206e8c5f,Rocky Lee,,3,2,0
98d961097baaf308,Shane Burgos,Hurricane,15,3,0
440c9dbab63528fb,Paul Herrera,The Bone Crusher,1,1,0
3bb2dc8e87b10a46,David Zawada,Sagat,17,7,0
3058888c33149a53,Yusuke Kasuya,,9,3,0
9c442aaf149ea982,Shauna Bannon,Mama B,7,2,0
85248da6e9e2f7e7,Jamie Yager,The Chosyn 1,8,4,0
c32fb8c0f6471a4d,Mirko Filipovic,Cro Cop,35,11,2
e8c170a64dc920ac,Tulio Palhares,,2,16,0
f6e5972c9d16c40e,Victor Rodriguez,Vicious,7,4,0
dd12382f28296f7b,Wang Guan,The Dongbei Tiger,20,1,1
dccb63727f2f5f74,Matt Frevola,The SteamRolla,11,6,1
8d5350fa18b79e9a,James Mulheron,,11,2,0
2558ae2e5671e318,Khaos Williams,The OxFighter,15,5,0
1788eee370f077b7,Blagoy Ivanov,Baga,19,6,0
a3be148af5c7b088,Piotr Hallmann,Pletwal,18,6,0
56c9acc4e86046a2,Chris Kelades,The Greek Assassin,9,3,0
103e2e33a60683e1,Irina Alekseeva,Russian Ronda,5,4,0
e26bd53b751d61d9,Jordan Williams,Bomaye,9,6,0
22ee260735da0d58,Richard Crunkilton,Cleat,19,4,0
fbf0537e420e698e,Daniel Teymur,Kid Dynamite,7,4,0
f29a6350c69f4a33,Miranda Maverick,Fear The,17,6,0
6e00cfffd54653c4,Tyson Nam,,21,14,1
2f1700b3a4a09bc7,Paul Georgieff,,6,2,0
afc2a7ce0c763bd5,Yoislandy Izquierdo,Cuba,10,4,0
9f7787e56a6bc0f4,Sako Chivitchian,,8,1,0
4690d47bf725fd98,Gokhan Saki,The Rebel,1,2,0
0641c21bec209472,Mike Jackson,The Truth,1,2,0
23459ee7e373b98f,Jared Hamman,The Messenger,14,6,0
e503aa5c252a1b4d,Dustin Neace,The Beast,25,21,1
cc6f9d1e89f3449a,Manvel Gamburyan,The Anvil,15,10,0
e13abac8089a801a,Justin Tafa,Bad Man,7,5,0
48a9a128784d53d1,Elves Brener,,16,6,0
