event_name,event_id,fight_id,r_name,r_id,b_name,b_id,division,title_fight,method,finish_round,match_time_sec,total_rounds,referee,r_kd,r_sig_str_landed,r_sig_str_atmpted,r_sig_str_acc,r_total_str_landed,r_total_str_atmpted,r_total_str_acc,r_td_landed,r_td_atmpted,r_td_acc,r_sub_att,r_ctrl,r_head_landed,r_head_atmpted,r_head_acc,r_body_landed,r_body_atmpted,r_body_acc,r_leg_landed,r_leg_atmpted,r_leg_acc,r_dist_landed,r_dist_atmpted,r_dist_acc,r_clinch_landed,r_clinch_atmpted,r_clinch_acc,r_ground_landed,r_ground_atmpted,r_ground_acc,r_landed_head_per,r_landed_body_per,r_landed_leg_per,r_landed_dist_per,r_landed_clinch_per,r_landed_ground_per,b_kd,b_sig_str_landed,b_sig_str_atmpted,b_sig_str_acc,b_total_str_landed,b_total_str_atmpted,b_total_str_acc,b_td_landed,b_td_atmpted,b_td_acc,b_sub_att,b_ctrl,b_head_landed,b_head_atmpted,b_head_acc,b_body_landed,b_body_atmpted,b_body_acc,b_leg_landed,b_leg_atmpted,b_leg_acc,b_dist_landed,b_dist_atmpted,b_dist_acc,b_clinch_landed,b_clinch_atmpted,b_clinch_acc,b_ground_landed,b_ground_atmpted,b_ground_acc,b_landed_head_per,b_landed_body_per,b_landed_leg_per,b_landed_dist_per,b_landed_clinch_per,b_landed_ground_per,date,location,winner,winner_id,event_status,r_nick_name,r_height,r_weight,r_reach,r_stance,r_dob,r_wins,r_losses,r_draws,b_nick_name,b_height,b_weight,b_reach,b_stance,b_dob,b_wins,b_losses,b_draws
UFC Fight Night: Blaydes vs. Ngannou 2,de25520d54eab12d,1c43b38c1f4bdbe2,Alistair Overeem,b4ad3a06ee4d660c,Sergei Pavlovich,f14cf73e51b29254,heavyweight,0,KO/TKO,1.0,261.0,3.0,John Sharp,0.0,22.0,26.0,84.0,26.0,31.0,84.0,1.0,2.0,50.0,0.0,117.0,13.0,16.0,81.0,8.0,9.0,89.0,1.0,1.0,100.0,3.0,5.0,60.0,7.0,7.0,100.0,12.0,14.0,86.0,59.0,36.0,4.0,13.0,31.0,54.0,0.0,13.0,32.0,40.0,18.0,37.0,49.0,0.0,2.0,0.0,0.0,12.0,9.0,25.0,36.0,3.0,6.0,50.0,1.0,1.0,100.0,8.0,22.0,36.0,5.0,10.0,50.0,0.0,0.0,,69.0,23.0,7.0,61.0,38.0,0.0,"November 24, 2018","Beijing, China",Alistair Overeem,b4ad3a06ee4d660c,,The Demolition Man,"6' 4""",265 lbs.,"80""",Orthodox,"May 17, 1980",47,19,0,,"6' 3""",257 lbs.,"84""",Southpaw,"May 13, 1992",20,3,0
UFC 149: Faber vs Barao,abbc4fc02e0d84b3,b6620177ac975ff2,Hector Lombard,db1f2ed63b54b9a7,Tim Boetsch,c80095f6092271a7,middleweight,0,Decision - Split,3.0,300.0,3.0,Josh Rosenthal,0.0,26.0,77.0,33.0,47.0,99.0,47.0,2.0,4.0,50.0,0.0,145.0,18.0,65.0,28.0,6.0,6.0,100.0,2.0,6.0,33.0,22.0,70.0,31.0,2.0,5.0,40.0,2.0,2.0,100.0,69.0,23.0,7.0,84.0,7.0,7.0,0.0,54.0,98.0,55.0,57.0,101.0,56.0,0.0,9.0,0.0,0.0,7.0,11.0,39.0,28.0,20.0,32.0,62.0,23.0,27.0,85.0,42.0,78.0,54.0,12.0,20.0,60.0,0.0,0.0,,20.0,37.0,42.0,77.0,22.0,0.0,"July 21, 2012","Calgary, Alberta, Canada",Tim Boetsch,c80095f6092271a7,,,"5' 9""",185 lbs.,"71""",Southpaw,"Feb 02, 1978",34,10,1,The Barbarian,"6' 0""",185 lbs.,"74""",Orthodox,"Jan 28, 1981",21,13,0
UFC Fight Night: Barnett vs Nelson,a4dd5c9a75763295,2ab47d509ee7dc6d,Mizuto Hirota,35faad160d346839,Teruto Ishihara,88cd34d836b4ebcd,featherweight,0,Decision - Split,3.0,300.0,3.0,Greg Kleynjans,0.0,62.0,183.0,33.0,100.0,225.0,44.0,2.0,5.0,40.0,0.0,206.0,55.0,165.0,33.0,4.0,13.0,31.0,3.0,5.0,60.0,49.0,163.0,30.0,13.0,20.0,65.0,0.0,0.0,,88.0,6.0,4.0,79.0,20.0,0.0,2.0,88.0,168.0,52.0,89.0,169.0,53.0,0.0,1.0,0.0,0.0,10.0,62.0,134.0,46.0,14.0,22.0,64.0,12.0,12.0,100.0,82.0,154.0,53.0,5.0,13.0,38.0,1.0,1.0,100.0,70.0,15.0,13.0,93.0,5.0,1.0,"September 26, 2015","Saitama, Japan",,,,Pugnus,"5' 7""",155 lbs.,"67""",Orthodox,"May 05, 1981",18,10,2,Yashabo,"5' 7""",135 lbs.,"69""",Southpaw,"Jul 23, 1991",10,7,2
UFC Fight Night: Teixeira vs Bader,b23fca14c7b79935,5aeac72404dd7c6d,Francisco Trinaldo,a8283a4f415e1eb9,Piotr Hallmann,a3be148af5c7b088,lightweight,0,Submission,2.0,230.0,3.0,Neil Hall,1.0,22.0,43.0,51.0,24.0,46.0,52.0,1.0,4.0,25.0,0.0,103.0,11.0,27.0,41.0,8.0,13.0,62.0,3.0,3.0,100.0,22.0,43.0,51.0,0.0,0.0,,0.0,0.0,,50.0,36.0,13.0,100.0,0.0,0.0,0.0,42.0,87.0,48.0,62.0,112.0,55.0,2.0,2.0,100.0,1.0,146.0,32.0,72.0,44.0,5.0,8.0,62.0,5.0,7.0,71.0,22.0,65.0,34.0,9.0,9.0,100.0,11.0,13.0,85.0,76.0,11.0,11.0,52.0,21.0,26.0,"September 04, 2013","Belo Horizonte, Minas Gerais, Brazil",Piotr Hallmann,a3be148af5c7b088,,Massaranduba,"5' 9""",170 lbs.,"70""",Southpaw,"Aug 24, 1978",28,9,0,Pletwal,"5' 9""",155 lbs.,"71""",Orthodox,"Aug 25, 1987",18,6,0
UFC Fight Night: Dern vs. Hill,6f812143641ceff8,924f982f0d9d2142,Emily Ducote,02f8fedc18cbd26c,Loopy Godinez,8e5d953bdb9ae5e7,catch weight,0,Decision - Unanimous,3.0,300.0,3.0,Chris Tognoni,0.0,112.0,270.0,41.0,117.0,275.0,43.0,0.0,4.0,0.0,0.0,11.0,71.0,214.0,33.0,21.0,33.0,64.0,20.0,23.0,87.0,106.0,262.0,40.0,6.0,8.0,75.0,0.0,0.0,,63.0,18.0,17.0,94.0,5.0,0.0,0.0,132.0,246.0,53.0,133.0,248.0,54.0,1.0,3.0,33.0,0.0,13.0,106.0,214.0,50.0,12.0,18.0,67.0,14.0,14.0,100.0,121.0,232.0,52.0,11.0,14.0,79.0,0.0,0.0,,80.0,9.0,10.0,91.0,8.0,0.0,"May 20, 2023","Las Vegas, Nevada, USA",Loopy Godinez,8e5d953bdb9ae5e7,,Gordinha,"5' 2""",115 lbs.,"63""",Orthodox,"Jan 01, 1994",13,9,0,,"5' 2""",115 lbs.,"61""",Orthodox,"Sep 06, 1993",14,6,0
UFC 190: Rousey vs Correia,a9c45a8b21eabadc,2116affb9c8f193b,Rafael Cavalcante,5c1ca0c72b599a3c,Patrick Cummins,e51e5cb722bd47a8,light heavyweight,0,KO/TKO,3.0,45.0,3.0,Mario Yamasaki,0.0,23.0,45.0,51.0,24.0,47.0,51.0,0.0,0.0,,0.0,3.0,20.0,42.0,48.0,1.0,1.0,100.0,2.0,2.0,100.0,15.0,34.0,44.0,1.0,3.0,33.0,7.0,8.0,88.0,86.0,4.0,8.0,65.0,4.0,30.0,0.0,49.0,92.0,53.0,102.0,162.0,63.0,8.0,14.0,57.0,0.0,431.0,37.0,77.0,48.0,6.0,7.0,86.0,6.0,8.0,75.0,18.0,49.0,37.0,7.0,10.0,70.0,24.0,33.0,73.0,75.0,12.0,12.0,36.0,14.0,48.0,"August 01, 2015","Rio de Janeiro, Rio de Janeiro, Brazil",Patrick Cummins,e51e5cb722bd47a8,,Feijao,"6' 1""",205 lbs.,"74""",Orthodox,"Apr 14, 1980",12,7,0,Durkin,"6' 2""",205 lbs.,"76""",Orthodox,"Nov 16, 1980",10,7,0
UFC on FUEL TV: Nogueira vs. Werdum,7865707fd684d77b,f5ebfe526cf409e8,Raphael Assuncao,2f13e4020cea5b38,Vaughan Lee,8bb6f4479685bbcc,bantamweight,0,Submission,2.0,111.0,3.0,Mario Yamasaki,0.0,17.0,54.0,31.0,27.0,65.0,42.0,3.0,5.0,60.0,1.0,172.0,10.0,40.0,25.0,5.0,7.0,71.0,2.0,7.0,28.0,6.0,36.0,17.0,0.0,3.0,0.0,11.0,15.0,73.0,58.0,29.0,11.0,35.0,0.0,64.0,0.0,14.0,27.0,51.0,28.0,41.0,68.0,0.0,1.0,0.0,0.0,2.0,3.0,15.0,20.0,4.0,5.0,80.0,7.0,7.0,100.0,10.0,22.0,45.0,4.0,5.0,80.0,0.0,0.0,,21.0,28.0,50.0,71.0,28.0,0.0,"June 08, 2013","Fortaleza, Ceara, Brazil",Raphael Assuncao,2f13e4020cea5b38,,,"5' 5""",135 lbs.,"66""",Orthodox,"Jul 19, 1982",28,10,0,,"5' 6""",125 lbs.,"66""",Orthodox,"Oct 15, 1982",14,13,1
UFC 163: Aldo vs Jung,ebc5af72ad5a28cb,af0327945c9656e0,Thales Leites,cfb65863d5099327,Tom Watson,6809c31286b08d97,middleweight,0,Decision - Unanimous,3.0,300.0,3.0,Herb Dean,0.0,51.0,91.0,56.0,98.0,141.0,70.0,5.0,9.0,55.0,3.0,605.0,47.0,85.0,55.0,2.0,4.0,50.0,2.0,2.0,100.0,24.0,62.0,39.0,8.0,10.0,80.0,19.0,19.0,100.0,92.0,3.0,3.0,47.0,15.0,37.0,0.0,33.0,67.0,49.0,36.0,70.0,51.0,0.0,0.0,,0.0,75.0,19.0,48.0,40.0,2.0,5.0,40.0,12.0,14.0,86.0,26.0,54.0,48.0,7.0,13.0,54.0,0.0,0.0,,57.0,6.0,36.0,78.0,21.0,0.0,"August 03, 2013","Rio de Janeiro, Brazil",Thales Leites,cfb65863d5099327,,,"6' 1""",185 lbs.,"78""",Orthodox,"Sep 06, 1981",28,9,0,Kong,"6' 1""",185 lbs.,"73""",Orthodox,"Jul 13, 1982",17,9,0
UFC 114: Rampage vs Evans,bfc2fc38a0e20211,094a77eecd56a27a,Todd Duffee,bda04c573563cc2e,Mike Russow,353de740bb6c7e75,heavyweight,0,KO/TKO,3.0,155.0,3.0,Josh Rosenthal,0.0,51.0,182.0,28.0,51.0,182.0,28.0,0.0,0.0,,0.0,1.0,43.0,171.0,25.0,7.0,10.0,70.0,1.0,1.0,100.0,48.0,173.0,28.0,3.0,9.0,33.0,0.0,0.0,,84.0,13.0,1.0,94.0,5.0,0.0,1.0,14.0,44.0,31.0,15.0,45.0,33.0,0.0,9.0,0.0,0.0,3.0,14.0,44.0,32.0,0.0,0.0,,0.0,0.0,,14.0,44.0,32.0,0.0,0.0,,0.0,0.0,,100.0,0.0,0.0,100.0,0.0,0.0,"May 29, 2010","Las Vegas, Nevada, USA",Mike Russow,353de740bb6c7e75,,,"6' 3""",260 lbs.,"78""",Orthodox,"Dec 06, 1985",9,3,0,,"6' 1""",255 lbs.,"73""",Orthodox,"Sep 11, 1976",15,3,0
UFC on FUEL TV: Gustafsson vs Silva,21f2974fd08085e3,589fd70f6f8b747c,Simeon Thoresen,fea8acf9bfcf09ec,Besam Yousef,98ec9f385cca47fc,welterweight,0,Submission,2.0,156.0,3.0,Marc Goddard,0.0,37.0,67.0,55.0,81.0,117.0,69.0,1.0,4.0,25.0,3.0,209.0,19.0,49.0,39.0,18.0,18.0,100.0,0.0,0.0,,12.0,39.0,31.0,18.0,18.0,100.0,7.0,10.0,70.0,51.0,48.0,0.0,32.0,48.0,18.0,0.0,28.0,54.0,51.0,98.0,137.0,72.0,0.0,0.0,,0.0,9.0,22.0,46.0,48.0,5.0,7.0,71.0,1.0,1.0,100.0,16.0,39.0,41.0,10.0,12.0,83.0,2.0,3.0,67.0,78.0,17.0,3.0,57.0,35.0,7.0,"April 14, 2012","Stockholm, Sweden",Simeon Thoresen,fea8acf9bfcf09ec,,The Grin,"6' 1""",170 lbs.,"79""",Orthodox,"Mar 14, 1984",17,6,1,,"5' 11""",170 lbs.,,Orthodox,"Mar 25, 1985",7,4,0
UFC Fight Night: Overeem vs. Oleinik,7dcf06c1967801c1,0bc7e4852f75a06d,Marcin Tybura,c9cf753cfdf77fc2,Shamil Abdurakhimov,2f5cbecbbe18bac4,heavyweight,0,KO/TKO,2.0,195.0,3.0,Herb Dean,0.0,28.0,70.0,40.0,28.0,70.0,40.0,0.0,0.0,,0.0,0.0,17.0,58.0,28.0,6.0,7.0,86.0,5.0,5.0,100.0,26.0,65.0,40.0,2.0,5.0,40.0,0.0,0.0,,60.0,21.0,17.0,92.0,7.0,0.0,1.0,36.0,87.0,41.0,36.0,87.0,41.0,0.0,3.0,0.0,0.0,0.0,24.0,72.0,33.0,10.0,13.0,77.0,2.0,2.0,100.0,26.0,74.0,35.0,10.0,13.0,77.0,0.0,0.0,,66.0,27.0,5.0,72.0,27.0,0.0,"April 20, 2019","Saint Petersburg, Saint Petersburg, Russia",Shamil Abdurakhimov,2f5cbecbbe18bac4,,Tybur,"6' 3""",249 lbs.,"78""",Orthodox,"Nov 09, 1985",27,11,0,Abrek,"6' 3""",235 lbs.,"76""",Orthodox,"Sep 02, 1981",20,8,0
